Airport,IATA_Airport_Code,City_State,Airport_Name,State,City
"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",ABE,"Allentown/Bethlehem/Easton, PA",Lehigh Valley International,PA,Allentown/Bethlehem/Easton
"Albuquerque, NM: Albuquerque International Sunport",ABQ,"Albuquerque, NM",Albuquerque International Sunport,NM,Albuquerque
"Atlantic City, NJ: Atlantic City International",ACY,"Atlantic City, NJ",Atlantic City International,NJ,Atlantic City
"Augusta, GA: Augusta Regional at Bush Field",AGS,"Augusta, GA",Augusta Regional at Bush Field,GA,Augusta
"Albany, NY: Albany International",ALB,"Albany, NY",Albany International,NY,Albany
"Amarillo, TX: Rick Husband Amarillo International",AMA,"Amarillo, TX",Rick Husband Amarillo International,TX,Amarillo
"Anchorage, AK: Ted Stevens Anchorage International",ANC,"Anchorage, AK",Ted Stevens Anchorage International,AK,Anchorage
"Aspen, CO: Aspen Pitkin County Sardy Field",ASE,"Aspen, CO",Aspen Pitkin County Sardy Field,CO,Aspen
"Atlanta, GA: Hartsfield-Jackson Atlanta International",ATL,"Atlanta, GA",Hartsfield-Jackson Atlanta International,GA,Atlanta
"Appleton, WI: Appleton International",ATW,"Appleton, WI",Appleton International,WI,Appleton
"Austin, TX: Austin - Bergstrom International",AUS,"Austin, TX",Austin - Bergstrom International,TX,Austin
"Asheville, NC: Asheville Regional",AVL,"Asheville, NC",Asheville Regional,NC,Asheville
"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",AVP,"Scranton/Wilkes-Barre, PA",Wilkes Barre Scranton International,PA,Scranton/Wilkes
"Phoenix, AZ: Phoenix - Mesa Gateway",AZA,"Phoenix, AZ",Phoenix - Mesa Gateway,AZ,Phoenix
"Hartford, CT: Bradley International",BDL,"Hartford, CT",Bradley International,CT,Hartford
"Bakersfield, CA: Meadows Field",BFL,"Bakersfield, CA",Meadows Field,CA,Bakersfield
"Bangor, ME: Bangor International",BGR,"Bangor, ME",Bangor International,ME,Bangor
"Birmingham, AL: Birmingham-Shuttlesworth International",BHM,"Birmingham, AL",Birmingham-Shuttlesworth International,AL,Birmingham
"Billings, MT: Billings Logan International",BIL,"Billings, MT",Billings Logan International,MT,Billings
