2023_Rank_Dom,Airport,2022_Rank_Dom,Percentage_Change_2022_2023_Dom,2023_Enplaned_Passengers_Dom,2022_Enplaned_Passengers_Dom
1,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1,10.3,44698432,40526044
2,"Denver, CO: Denver International",2,11.7,35870225,32123378
3,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",3,10.5,33833854,30625790
4,"Chicago, IL: Chicago O'Hare International",4,6.3,29292264,27565680
5,"Las Vegas, NV: Harry Reid International",6,8.5,26047885,24004092
6,"Los Angeles, CA: Los Angeles International",5,6.7,26040773,24411262
7,"Orlando, FL: Orlando International",7,13.3,24719460,21817396
8,"Charlotte, NC: Charlotte Douglas International",8,11.4,23798267,21366695
9,"Phoenix, AZ: Phoenix Sky Harbor International",9,8.8,22560503,20732281
10,"Seattle, WA: Seattle/Tacoma International",10,8.8,21808127,20040420
11,"San Francisco, CA: San Francisco International",11,11.7,17427262,15595312
12,"Newark, NJ: Newark Liberty International",12,10.9,17267551,15573677
13,"Houston, TX: George Bush Intercontinental/Houston",13,9.3,16572798,15165107
14,"Boston, MA: Logan International",14,11.2,16101656,14476809
15,"Minneapolis, MN: Minneapolis-St Paul International",15,9.8,15522916,14143872
16,"New York, NY: LaGuardia",18,11.2,15242015,13701220
17,"New York, NY: John F. Kennedy International",17,2.5,14309632,13967379
18,"Miami, FL: Miami International",16,-0.3,14066692,14109319
19,"Detroit, MI: Detroit Metro Wayne County",19,9.4,13841164,12652673
20,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",20,8.9,13344698,12258749
21,"Salt Lake City, UT: Salt Lake City International",21,3.8,12267723,11819573
22,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",25,15.1,12150729,10560728
23,"Washington, DC: Ronald Reagan Washington National",22,6.5,12141676,11404524
24,"Philadelphia, PA: Philadelphia International",23,9.1,11865996,10872227
25,"San Diego, CA: San Diego International",24,8.8,11705997,10763344
26,"Tampa, FL: Tampa International",26,9.6,11082775,10115112
27,"Nashville, TN: Nashville International",28,13.8,11003112,9669149
28,"Austin, TX: Austin - Bergstrom International",27,4.0,10311631,9915823
29,"Chicago, IL: Chicago Midway International",29,10.6,10276017,9288856
30,"Honolulu, HI: Daniel K Inouye International",30,6.7,8654700,8111548
31,"Dallas, TX: Dallas Love Field",31,9.0,8454181,7756791
32,"Portland, OR: Portland International",32,11.2,7739970,6959764
33,"Washington, DC: Washington Dulles International",33,12.7,7527094,6681691
34,"St. Louis, MO: St Louis Lambert International",34,8.8,7080862,6510415
35,"Raleigh/Durham, NC: Raleigh-Durham International",38,20.8,6882089,5696378
36,"Houston, TX: William P Hobby",35,5.2,6283561,5973780
37,"New Orleans, LA: Louis Armstrong New Orleans International",37,5.9,6178662,5833216
38,"Sacramento, CA: Sacramento International",36,5.4,6174576,5857811
39,"San Jose, CA: Norman Y. Mineta San Jose International",39,4.8,5591141,5334718
40,"Kansas City, MO: Kansas City International",43,17.4,5586320,4757292
41,"Santa Ana, CA: John Wayne Airport-Orange County",40,2.8,5477538,5328661
42,"San Juan, PR: Luis Munoz Marin International",44,16.1,5354705,4613255
43,"Oakland, CA: Metro Oakland International",41,-0.8,5207881,5248608
44,"San Antonio, TX: San Antonio International",45,12.4,4999095,4449492
45,"Fort Myers, FL: Southwest Florida International",42,-4.1,4804893,5008328
46,"Indianapolis, IN: Indianapolis International",46,13.5,4730294,4166560
47,"Cleveland, OH: Cleveland-Hopkins International",47,13.0,4686646,4148280
48,"Pittsburgh, PA: Pittsburgh International",49,14.0,4386653,3848190
