2023_Rank_Inter,Airport,2022_Rank_Inter,Percentage_Change_2022_2023_Inter,2023_Enplaned_Passengers_Inter,2022_Enplaned_Passengers_Inter
1,"New York, NY: John F. Kennedy International",1,24.3,16202019,13038319
2,"Los Angeles, CA: Los Angeles International",3,34.2,10570556,7873872
3,"Miami, FL: Miami International",2,9.5,10477110,9567008
4,"Newark, NJ: Newark Liberty International",4,18.5,7208734,6082301
5,"San Francisco, CA: San Francisco International",7,40.4,6746632,4806535
6,"Chicago, IL: Chicago O'Hare International",5,17.4,6536020,5565933
7,"Atlanta, GA: Hartsfield-Jackson Atlanta International",6,28.5,6226748,4847156
8,"Houston, TX: George Bush Intercontinental/Houston",9,21.6,5636877,4635283
9,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",8,14.6,5392505,4704176
10,"Washington, DC: Washington Dulles International",10,26.7,4521465,3569209
11,"Boston, MA: Logan International",12,30.2,3848800,2955885
12,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",11,18.6,3691968,3112179
13,"Orlando, FL: Orlando International",13,25.7,3299596,2624665
14,"Seattle, WA: Seattle/Tacoma International",14,32.3,2742531,2073080
15,"Charlotte, NC: Charlotte Douglas International",15,20.8,2082237,1724393
16,"Denver, CO: Denver International",16,21.1,1969322,1626487
17,"Philadelphia, PA: Philadelphia International",17,15.3,1763377,1529296
18,"Las Vegas, NV: Harry Reid International",18,26.5,1594397,1260716
19,"Detroit, MI: Detroit Metro Wayne County",19,40.1,1509235,1077329
20,"Minneapolis, MN: Minneapolis-St Paul International",20,38.0,1461595,1059448
21,"Honolulu, HI: Daniel K Inouye International",22,110.2,1446631,688224
22,"Phoenix, AZ: Phoenix Sky Harbor International",21,18.4,1253319,1058718
23,"New York, NY: LaGuardia",23,39.3,929751,667333
24,"Salt Lake City, UT: Salt Lake City International",24,13.4,624686,550833
25,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",25,22.1,614287,503089
26,"Guam, TT: Guam International",32,113.5,597336,279735
27,"Tampa, FL: Tampa International",28,42.5,573657,402566
28,"San Juan, PR: Luis Munoz Marin International",29,42.5,568603,399128
29,"Austin, TX: Austin - Bergstrom International",27,11.9,494940,442296
30,"Houston, TX: William P Hobby",26,5.4,479828,455252
31,"San Diego, CA: San Diego International",30,25.5,450424,358779
32,"Portland, OR: Portland International",34,37.6,375872,273259
33,"Chicago, IL: Chicago Midway International",31,6.5,370039,347346
34,"San Jose, CA: Norman Y. Mineta San Jose International",35,45.5,353008,242660
35,"San Antonio, TX: San Antonio International",33,10.2,305738,277324
36,"Oakland, CA: Metro Oakland International",38,45.6,255869,175783
37,"Raleigh/Durham, NC: Raleigh-Durham International",45,62.8,218754,134410
38,"St. Louis, MO: St Louis Lambert International",36,18.6,216168,182249
39,"Ontario, CA: Ontario International",47,125.7,205779,91159
40,"Washington, DC: Ronald Reagan Washington National",44,51.1,204903,135627
41,"Palm Springs, CA: Palm Springs International",42,34.9,197819,146641
42,"Nashville, TN: Nashville International",43,40.0,192269,137351
43,"Sacramento, CA: Sacramento International",37,6.9,188934,176734
44,"Santa Ana, CA: John Wayne Airport-Orange County",39,9.9,181258,164950
45,"Fresno, CA: Fresno Yosemite International",40,2.8,161720,157277
46,"Kahului, HI: Kahului Airport",41,2.3,153787,150265
47,"Fort Myers, FL: Southwest Florida International",46,26.6,149765,118269
48,"Saipan, TT: Francisco C. Ada Saipan International",59,445.3,145141,26617
49,"New Orleans, LA: Louis Armstrong New Orleans International",48,42.1,116430,81944
50,"Cleveland, OH: Cleveland-Hopkins International",49,37.4,104487,76035
