2023_Rank_Total,Airport,Percentage_Change_2022_2023_Total,2023_Enplaned_Passengers_Total,2022_Rank_Total,2022_Enplaned_Passengers_Total
1,"Atlanta, GA: Hartsfield-Jackson Atlanta International",12.2,50925180,1,45373200
2,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",11.0,39226359,2,35329966
3,"Denver, CO: Denver International",12.1,37839547,3,33749865
4,"Los Angeles, CA: Los Angeles International",13.4,36611329,5,32285134
5,"Chicago, IL: Chicago O'Hare International",8.1,35828284,4,33131613
6,"New York, NY: John F. Kennedy International",13.0,30511651,6,27005698
7,"Orlando, FL: Orlando International",14.6,28019056,8,24442061
8,"Las Vegas, NV: Harry Reid International",9.4,27642282,7,25264808
9,"Charlotte, NC: Charlotte Douglas International",12.1,25880504,10,23091088
10,"Seattle, WA: Seattle/Tacoma International",11.0,24550658,11,22113500
11,"Miami, FL: Miami International",3.7,24543802,9,23676327
12,"Newark, NJ: Newark Liberty International",13.0,24476285,13,21655978
13,"San Francisco, CA: San Francisco International",18.5,24173894,14,20401847
14,"Phoenix, AZ: Phoenix Sky Harbor International",9.3,23813822,12,21790999
15,"Houston, TX: George Bush Intercontinental/Houston",12.2,22209675,15,19800390
16,"Boston, MA: Logan International",14.4,19950456,16,17432694
17,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",10.8,17036666,17,15370928
18,"Minneapolis, MN: Minneapolis-St Paul International",11.7,16984511,18,15203320
19,"New York, NY: LaGuardia",12.5,16171766,19,14368553
20,"Detroit, MI: Detroit Metro Wayne County",11.8,15350399,20,13730002
21,"Philadelphia, PA: Philadelphia International",9.9,13629373,21,12401523
22,"Salt Lake City, UT: Salt Lake City International",4.2,12892409,22,12370406
23,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",15.4,12765016,25,11063817
24,"Washington, DC: Ronald Reagan Washington National",7.0,12346579,23,11540151
25,"San Diego, CA: San Diego International",9.3,12156421,24,11122123
26,"Washington, DC: Washington Dulles International",17.5,12048559,28,10250900
27,"Tampa, FL: Tampa International",10.8,11656432,26,10517678
28,"Nashville, TN: Nashville International",14.2,11195381,29,9806500
29,"Austin, TX: Austin - Bergstrom International",4.3,10806571,27,10358119
30,"Chicago, IL: Chicago Midway International",10.5,10646056,30,9636202
31,"Honolulu, HI: Daniel K Inouye International",14.8,10101331,31,8799772
32,"Dallas, TX: Dallas Love Field",9.0,8454181,32,7756791
33,"Portland, OR: Portland International",12.2,8115842,33,7233023
34,"St. Louis, MO: St Louis Lambert International",9.0,7297030,34,6692664
35,"Raleigh/Durham, NC: Raleigh-Durham International",21.8,7100843,38,5830788
36,"Houston, TX: William P Hobby",5.2,6763389,35,6429032
37,"Sacramento, CA: Sacramento International",5.5,6363510,36,6034545
38,"New Orleans, LA: Louis Armstrong New Orleans International",6.4,6295092,37,5915160
39,"San Jose, CA: Norman Y. Mineta San Jose International",6.6,5944149,39,5577378
40,"San Juan, PR: Luis Munoz Marin International",18.2,5923308,43,5012383
41,"Santa Ana, CA: John Wayne Airport-Orange County",3.0,5658796,40,5493611
42,"Kansas City, MO: Kansas City International",17.8,5638639,44,4786019
43,"Oakland, CA: Metro Oakland International",0.7,5463750,41,5424391
44,"San Antonio, TX: San Antonio International",12.2,5304833,45,4726816
45,"Fort Myers, FL: Southwest Florida International",-3.4,4954658,42,5126597
46,"Cleveland, OH: Cleveland-Hopkins International",13.4,4791133,46,4224315
47,"Indianapolis, IN: Indianapolis International",13.7,4764189,47,4190793
48,"Pittsburgh, PA: Pittsburgh International",14.4,4461267,49,3898717
49,"Cincinnati, OH: Cincinnati/Northern Kentucky International",16.4,4256878,50,3657458
50,"Columbus, OH: John Glenn Columbus International",13.0,4074915,51,3605900
51,"West Palm Beach/Palm Beach, FL: Palm Beach International",17.2,3805131,52,3246604
52,"Kahului, HI: Kahului Airport",-9.2,3742784,48,4120490
53,"Jacksonville, FL: Jacksonville International",14.0,3609026,53,3165978
54,"Ontario, CA: Ontario International",12.0,3175133,56,2834891
55,"Hartford, CT: Bradley International",9.7,3116057,55,2839268
56,"Charleston, SC: Charleston AFB/International",16.2,3028628,58,2605651
57,"Burbank, CA: Bob Hope",2.1,3010070,54,2949215
58,"Milwaukee, WI: General Mitchell International",10.5,2920421,57,2642287
59,"Albuquerque, NM: Albuquerque International Sunport",12.4,2601913,60,2314568
60,"Anchorage, AK: Ted Stevens Anchorage International",3.9,2580631,59,2483479
61,"Omaha, NE: Eppley Airfield",11.8,2458077,62,2198187
62,"Richmond, VA: Richmond International",17.3,2390287,66,2037712
63,"Memphis, TN: Memphis International",10.9,2384726,63,2150949
64,"Boise, ID: Boise Air Terminal",6.2,2365547,61,2226706
